#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-14.8472550, -64.9378934, -11.4855510, -0.1058407, -0.4849369,  0.5997430, -0.6276482)    0    0   5.00000000  0 0.200   0.00000000
(-9.4320558, -66.9325292, -3.9885882, -0.3588059, -0.4977777, -0.7363521,  0.2850636)    0    0   5.00000000  0 0.200   0.00000000
(-9.6920294, -73.2308994, -0.6849071, -0.2741740, -0.8104866, -0.4670855,  0.2230947)    0    0   5.00000000  0 0.200   0.00000000
(-12.1542930, -60.4033792,  1.4257127, -0.5257622,  0.0415576, -0.8454891, -0.0836377)    0    0   5.00000000  0 0.200   0.00000000
(-19.9176048, -64.2268304, -2.5499986, -0.7845227,  0.1866141,  0.5531036, -0.2092264)    0    0   5.00000000  0 0.200   0.00000000
(-12.7088477, -72.3220603, -11.0769307, -0.3024669,  0.6108104, -0.5558079,  0.4759223)    0    0   5.00000000  0 0.200   0.00000000
(-14.1583852, -67.1858076, -4.8663327, -0.3735206,  0.2083132, -0.4287666, -0.7957683)    0    0   5.00000000  0 0.200   0.00000000
(-12.9783223, -64.0367456, -13.4867995,  0.7198605, -0.4515069,  0.3327463, -0.4089282)    0    0   5.00000000  0 0.200   0.00000000
(-9.6743283, -71.4844223, -1.8814335, -0.8842857, -0.1559607, -0.0867007, -0.4315068)    0    0   5.00000000  0 0.200   0.00000000
(-12.6432861, -64.8657411,  3.1191054, -0.2358095,  0.2153349, -0.9386413,  0.1302969)    0    0   5.00000000  0 0.200   0.00000000
(-12.1609153, -65.7545376, -8.9164143,  0.8898131, -0.3115626,  0.0201398,  0.3328000)    0    0   5.00000000  0 0.200   0.00000000
(-15.8729116, -68.7601132,  3.8172748, -0.8694071,  0.0222549,  0.4347641,  0.2337008)    0    0   5.00000000  0 0.200   0.00000000
(-18.7475821, -64.0901464, -3.6847943,  0.7427950,  0.3348688,  0.2154013, -0.5382571)    0    0   5.00000000  0 0.200   0.00000000
(-11.4117356, -66.3816859, -6.5047581,  0.3972159,  0.4494580, -0.7733119,  0.2054160)    0    0   5.00000000  0 0.200   0.00000000
(-18.1215433, -61.1252616, -3.0632357,  0.2863031, -0.7355873, -0.1475522,  0.5959616)    0    0   5.00000000  0 0.200   0.00000000
(-15.9080362, -65.6840121,  3.9694422,  0.1056661, -0.4202315, -0.4907317, -0.7559250)    0    0   5.00000000  0 0.200   0.00000000
(-12.3791911, -71.5023211, -2.8482172, -0.3566682, -0.0065375,  0.3012389,  0.8843077)    0    0   5.00000000  0 0.200   0.00000000
(-15.3761560, -60.3330509,  1.5000676,  0.1473931, -0.6234336, -0.3366852,  0.6901079)    0    0   5.00000000  0 0.200   0.00000000
(-17.2025028, -69.9851020, -0.2969211, -0.1259660, -0.4255893,  0.1881670,  0.8761276)    0    0   5.00000000  0 0.200   0.00000000
(-17.0936571, -70.6304032, -3.6542038,  0.3383969, -0.9386727, -0.0645405, -0.0146831)    0    0   5.00000000  0 0.200   0.00000000
(-18.3665824, -65.9050168, -8.4449579,  0.1906847, -0.6163450, -0.5707962, -0.5078876)    0    0   5.00000000  0 0.200   0.00000000
(-12.4666386, -66.6841921, -10.3066849, -0.0225807,  0.5484974, -0.5725684, -0.6089385)    0    0   5.00000000  0 0.200   0.00000000
(-10.3746245, -61.7279654, -7.6045497,  0.3354724,  0.1886411,  0.5897812,  0.7099513)    0    0   5.00000000  0 0.200   0.00000000
(-19.4822298, -72.7864769, -6.2883963, -0.2746721, -0.8605910, -0.0652555,  0.4238869)    0    0   5.00000000  0 0.200   0.00000000
(-12.7227350, -68.2360351,  3.6798690, -0.6668691,  0.6996308,  0.2515562, -0.0502178)    0    0   5.00000000  0 0.200   0.00000000
(-13.0968444, -64.8650424, -14.5344917,  0.4871441, -0.8500074, -0.2001712, -0.0104680)    0    0   5.00000000  0 0.200   0.00000000
(-13.3329038, -64.2531008, -13.4331388,  0.3407736, -0.8948315, -0.1648159, -0.2366128)    0    0   5.00000000  0 0.200   0.00000000
(-8.6029572, -63.6262839, -5.4276337, -0.8157471,  0.3522318, -0.2023901, -0.4117374)    0    0   5.00000000  0 0.200   0.00000000
(-11.2754656, -69.3775821, -10.3927588,  0.9356437,  0.1363727, -0.3239974,  0.0316090)    0    0   5.00000000  0 0.200   0.00000000
(-18.5899100, -64.4162075,  3.3756740,  0.6044710,  0.7453585, -0.2708915,  0.0753221)    0    0   5.00000000  0 0.200   0.00000000
(-10.1947099, -64.2726503, -8.5602054, -0.3097001,  0.9272613,  0.0883699, -0.1909530)    0    0   5.00000000  0 0.200   0.00000000
(-14.0350733, -66.1480822, -4.9390409,  0.3381876,  0.7277442,  0.4423856,  0.4003905)    0    0   5.00000000  0 0.200   0.00000000
(-10.7734796, -71.3956985, -4.2028119, -0.4251338,  0.1366711, -0.0881444,  0.8904004)    0    0   5.00000000  0 0.200   0.00000000
(-12.6391940, -68.6501552,  2.0655122,  0.7615686,  0.3660267, -0.5340857, -0.0281107)    0    0   5.00000000  0 0.200   0.00000000
(-20.7481497, -66.5241089, -12.1719140, -0.6319303, -0.0590299,  0.0760820,  0.7690196)    0    0   5.00000000  0 0.200   0.00000000
(-17.2294884, -61.1118904, -5.5486797,  0.1060624, -0.1248064,  0.1610813, -0.9732558)    0    0   5.00000000  0 0.200   0.00000000
(-15.1980405, -64.4521648, -14.4745443, -0.0750314,  0.7368451, -0.6619065, -0.1153658)    0    0   5.00000000  0 0.200   0.00000000
(-8.0891875, -70.7046961, -8.1004208, -0.0081179, -0.5965452,  0.0298970,  0.8019813)    0    0   5.00000000  0 0.200   0.00000000
(-21.1166553, -72.3815373, -1.0621486,  0.5916744,  0.2222111,  0.5014851,  0.5908099)    0    0   5.00000000  0 0.200   0.00000000
